gene,gene_full,mean_null,mean_intact,delta,n_null,n_intact,p,q
ITGAV,ITGAV (3685),-1.0465,-0.6488,-0.3977,55,79,3.962476932262951e-08,0.00017747934179605757
SCAP,SCAP (22937),-0.9925,-0.5999,-0.3926,55,79,0.000228009473585174,0.04211358483249461
KIF18A,KIF18A (81930),-1.6493,-1.2569,-0.3924,55,79,7.802216347599158e-05,0.021841329388060392
PPP1R12A,PPP1R12A (4659),-1.4557,-1.0653,-0.3904,55,79,1.491562540663193e-05,0.009214770509835093
COPG1,COPG1 (22820),-1.2808,-0.9266,-0.3542,55,79,9.181248761526175e-05,0.024922917092651962
FERMT2,FERMT2 (10979),-1.0546,-0.7116,-0.343,55,79,5.3043448184932465e-05,0.019700238860475113
ITGB5,ITGB5 (3693),-0.6205,-0.2942,-0.3263,55,79,2.1133174123082813e-06,0.002524146317261011
JUN,JUN (3725),-0.6581,-0.3373,-0.3208,55,79,5.759022034363369e-08,0.0002044338922778141
UBR4,UBR4 (23352),-1.1751,-0.8782,-0.2969,55,79,7.523462160014829e-05,0.02139529334267074
KIF18B,KIF18B (146909),-0.7787,-0.4922,-0.2864,55,79,6.619895532818262e-05,0.02010204209592745
ATP6V1G1,ATP6V1G1 (9550),-0.8098,-0.5258,-0.284,55,79,1.0398155593085744e-05,0.007762223150238509
C3orf38,C3orf38 (285237),-0.6235,-0.3422,-0.2813,55,79,5.867476050263626e-09,7.409942199217483e-05
TLN1,TLN1 (7094),-0.4753,-0.2015,-0.2739,55,79,1.4678663936434584e-08,8.766098102838733e-05
CTDNEP1,CTDNEP1 (23399),-0.6845,-0.413,-0.2715,55,79,3.851615318227945e-06,0.003833641113409548
PYROXD1,PYROXD1 (79912),-0.805,-0.5373,-0.2677,55,79,1.602149082438321e-07,0.000358801287012062
ACTL6A,ACTL6A (86),-1.7526,-1.4892,-0.2634,55,79,6.619895532818262e-05,0.02010204209592745
PFDN1,PFDN1 (5201),-0.7944,-0.5329,-0.2616,55,79,6.038200206441059e-05,0.020033406462703334
FOSL1,FOSL1 (8061),-0.5388,-0.2777,-0.2611,55,79,3.851615318227945e-06,0.003833641113409548
ACTR2,ACTR2 (10097),-1.3424,-1.0858,-0.2566,55,79,0.00017033379277195374,0.035484886410492134
VCL,VCL (7414),-0.6153,-0.3648,-0.2505,55,79,8.27187117572838e-09,7.409942199217483e-05
TUBA1C,TUBA1C (84790),-0.9637,-0.7156,-0.2482,49,63,0.00013822340786330583,0.03095513219098734
UBIAD1,UBIAD1 (29914),-0.6516,-0.4047,-0.2469,55,79,9.181248761526175e-05,0.024922917092651962
CCT4,CCT4 (10575),-2.354,-2.1087,-0.2453,55,79,3.7846074653397e-05,0.016376416415163506
CCT3,CCT3 (7203),-2.3239,-2.08,-0.2439,55,79,2.5322630626431543e-05,0.01401621532971783
ACTR3,ACTR3 (10096),-0.7045,-0.4663,-0.2382,55,79,1.067912687507181e-06,0.001739338519034423
PTK2,PTK2 (5747),-0.8496,-0.612,-0.2376,55,79,0.00017940203441497296,0.036944446535386845
UFM1,UFM1 (51569),-0.6034,-0.3661,-0.2372,55,79,5.607904565105105e-05,0.019700238860475113
LMNA,LMNA (4000),-0.6772,-0.444,-0.2332,55,79,1.2216147276876527e-05,0.00841786517740461
WWTR1,WWTR1 (25937),-0.5139,-0.2836,-0.2303,55,79,1.4555860981265812e-07,0.000358801287012062
UBA5,UBA5 (79876),-0.6776,-0.4479,-0.2296,55,79,5.2066521193043414e-05,0.019700238860475113
CNOT1,CNOT1 (23019),-0.9156,-0.6866,-0.229,55,79,6.846413003275756e-08,0.0002044338922778141
BRD2,BRD2 (6046),-0.5082,-0.2796,-0.2286,55,79,1.7821796784908588e-05,0.010643177039947408
RAC1,RAC1 (5879),-0.962,-0.7416,-0.2203,55,79,0.00010787058373000912,0.027608705401526334
ILK,ILK (3611),-0.4679,-0.2495,-0.2183,55,79,3.069556868751168e-05,0.015712623103013124
FGFR1,FGFR1 (2260),-0.3706,-0.155,-0.2156,55,79,0.00020234645339873496,0.03940477238143191
ZFP36L1,ZFP36L1 (677),-0.3874,-0.1731,-0.2143,55,79,5.39009267336509e-06,0.004828445016800448
SKA1,SKA1 (220134),-0.742,-0.5296,-0.2124,55,79,1.0189920334938105e-05,0.007762223150238509
PRKAR1A,PRKAR1A (5573),-0.4434,-0.2348,-0.2086,55,79,4.83260502339394e-05,0.019677488999801325
KIF2C,KIF2C (11004),-0.4748,-0.2664,-0.2084,55,79,1.8490230936332015e-07,0.00036807886383924935
ARPC4,ARPC4 (10093),-0.7685,-0.5659,-0.2026,55,79,1.2972858291639594e-05,0.008608212190852406
POLR1H,POLR1H (30834),-1.0459,-0.8451,-0.2008,55,79,3.3911509454470763e-06,0.0037972412711643633
UBE2C,UBE2C (11065),-0.8952,-0.6951,-0.2001,55,79,0.00022416605776796878,0.04183499053094718
TCP1,TCP1 (6950),-2.0722,-1.8759,-0.1964,55,79,0.0002523917596182935,0.04477079965664699
CBFB,CBFB (865),-0.3648,-0.1736,-0.1912,55,79,0.0002481660678508846,0.044461432716164484
TEAD1,TEAD1 (7003),-0.3657,-0.175,-0.1907,55,79,3.71360263044832e-05,0.016376416415163506
PKN2,PKN2 (5586),-0.4902,-0.3017,-0.1885,55,79,3.18924130131735e-05,0.015871790876222678
ARPC3,ARPC3 (10094),-0.9585,-0.7732,-0.1853,55,79,0.00015346912500369844,0.03353113223861295
TAF1D,TAF1D (79101),-0.7986,-0.6184,-0.1802,55,79,9.347885112684777e-05,0.02499652383266574
NOLC1,NOLC1 (9221),-0.6879,-0.5168,-0.1711,55,79,1.4622074490606656e-05,0.009214770509835093
GGNBP2,GGNBP2 (79893),-0.3613,-0.1902,-0.1711,55,79,3.930486190288182e-05,0.016376416415163506
SACS,SACS (26278),-0.2948,-0.1259,-0.1689,55,79,7.0562798085515405e-06,0.005746377684091336
RICTOR,RICTOR (253260),-0.5221,-0.3571,-0.165,55,79,0.0001265384237998108,0.02906490257432577
ZFX,ZFX (7543),-0.3142,-0.1504,-0.1637,55,79,0.00027454493541983837,0.04674694707750935
ARPC2,ARPC2 (10109),-0.6301,-0.4704,-0.1597,55,79,1.5909526279073346e-06,0.0023752922734656505
CSDE1,CSDE1 (7812),-0.3425,-0.1837,-0.1588,55,79,6.26484437285722e-05,0.02004302710430535
RPS16,RPS16 (6217),-2.2179,-2.0603,-0.1575,55,79,0.00023588147140900367,0.04312298409962969
MARK2,MARK2 (2011),-0.3462,-0.1914,-0.1547,55,79,0.0002093890108733576,0.040168711472866506
CCND3,CCND3 (896),-0.4212,-0.2773,-0.1439,55,79,6.771309856018293e-06,0.005746377684091336
CRK,CRK (1398),-0.2628,-0.1211,-0.1417,55,79,0.0001243236980317007,0.02906490257432577
SUCO,SUCO (51430),-0.2016,-0.0601,-0.1415,55,79,6.993845298449919e-05,0.020209956833391732
RELA,RELA (5970),-0.4608,-0.3257,-0.1351,55,79,0.00011789569459787642,0.02854350357318316
ZNG1B,ZNG1B (150472),-0.725,-0.5915,-0.1335,49,63,0.00016196557940194116,0.03467873686449748
TNRC18,TNRC18 (84629),-0.1071,0.0158,-0.1229,55,79,9.865012829065917e-05,0.0259914073302272
UBALD1,UBALD1 (124402),-0.1227,-0.001,-0.1218,55,79,0.00011378505585322087,0.028313514731476464
RBM27,RBM27 (54439),-0.2567,-0.1354,-0.1213,55,79,6.867038761366789e-05,0.020168830565352035
CCT7,CCT7 (10574),-1.332,-1.2119,-0.1201,55,79,0.00028390310979251233,0.0470963714355801
RAPGEF6,RAPGEF6 (51735),-0.1893,-0.0754,-0.1138,55,79,1.067912687507181e-06,0.001739338519034423
ALG9,ALG9 (79796),-0.1587,-0.0462,-0.1125,55,79,2.0849427453106036e-05,0.012049623943543475
DPF2,DPF2 (5977),-0.3849,-0.275,-0.11,55,79,0.0002791875048723767,0.04674694707750935
CLCC1,CLCC1 (23155),-0.4773,-0.37,-0.1073,55,79,0.00029355764342961564,0.04738179044761256
DPM3,DPM3 (54344),-0.3593,-0.2526,-0.1067,55,79,6.381150853615022e-05,0.020056964683046793
DPM1,DPM1 (8813),-0.178,-0.0716,-0.1063,55,79,0.0002791875048723767,0.04674694707750935
HJV,HJV (148738),-0.4527,-0.3484,-0.1043,55,79,3.856894765971988e-05,0.016376416415163506
JUNB,JUNB (3726),-0.2497,-0.1463,-0.1035,55,79,0.0001645285015339521,0.03467873686449748
POTEC,POTEC (388468),0.1406,0.2432,-0.1026,55,79,2.0234312255004805e-06,0.002524146317261011
TMEM94,TMEM94 (9772),-0.0873,0.0149,-0.1022,55,79,3.3133338430470655e-05,0.015922045447852216
PNPLA6,PNPLA6 (10908),-0.1686,-0.0667,-0.1019,55,79,0.00012214536951694275,0.02906490257432577
AUP1,AUP1 (550),-0.265,-0.1642,-0.1008,55,79,1.19733804815359e-05,0.00841786517740461
USP19,USP19 (10869),-0.253,-0.1552,-0.0978,55,79,0.000269974363763181,0.04674694707750935
HOXB9,HOXB9 (3219),-0.3157,-0.2187,-0.097,55,79,5.607904565105105e-05,0.019700238860475113
KREMEN2,KREMEN2 (79412),-0.2048,-0.1084,-0.0964,55,79,0.00019552566073416562,0.038922641530147906
IL36B,IL36B (27177),-0.2111,-0.1151,-0.096,55,79,2.5816873514215694e-05,0.01401621532971783
FGFR1OP2,FGFR1OP2 (26127),-0.2722,-0.1769,-0.0954,55,79,0.0002791875048723767,0.04674694707750935
PAFAH1B3,PAFAH1B3 (5050),-0.026,0.0692,-0.0952,55,79,0.00021299551182866254,0.040168711472866506
PUS3,PUS3 (83480),-0.2034,-0.1087,-0.0947,55,79,0.0003035171065616623,0.047700109483848604
CERT1,CERT1 (10087),-0.1002,-0.0071,-0.0931,55,79,0.00021299551182866254,0.040168711472866506
GCFC2,GCFC2 (6936),-0.1087,-0.0157,-0.093,55,79,0.00029355764342961564,0.04738179044761256
ZNRD2,ZNRD2 (10534),-0.385,-0.2924,-0.0926,55,79,0.00010980922980763731,0.02770904452441732
PIK3R3,PIK3R3 (8503),-0.0125,0.0764,-0.0889,55,79,3.3770804142575584e-05,0.015922045447852216
EXTL2,EXTL2 (2135),-0.3058,-0.218,-0.0878,55,79,0.00023991186607355807,0.04341677770276633
PDE7A,PDE7A (5150),-0.0936,-0.0068,-0.0868,55,79,2.0679063446041177e-06,0.002524146317261011
RNF111,RNF111 (54778),0.0348,0.1216,-0.0868,55,79,0.00013577265960337703,0.03079117682853295
TRAM2,TRAM2 (9697),-0.1402,-0.0547,-0.0855,55,79,0.00010224570313037584,0.02654831909106976
IL1RL2,IL1RL2 (8808),-0.156,-0.0728,-0.0832,55,79,0.00015081515521986013,0.03335807803603721
PLEKHB2,PLEKHB2 (55041),-0.0346,0.0453,-0.0799,55,79,5.403765393515025e-05,0.019700238860475113
TCF7L1,TCF7L1 (83439),-0.2544,-0.1772,-0.0772,55,79,0.0001645285015339521,0.03467873686449748
RGS10,RGS10 (6001),0.0224,0.0995,-0.0771,55,79,0.00011582326244246769,0.028425884519441797
OR2L2,OR2L2 (26246),-0.1012,-0.0276,-0.0737,49,64,3.7484178703652125e-05,0.016376416415163506
QSER1,QSER1 (79832),0.2007,0.2736,-0.073,55,79,6.26484437285722e-05,0.02004302710430535
AFM,AFM (173),0.0497,0.1225,-0.0728,55,79,0.0001265384237998108,0.02906490257432577
FBXL20,FBXL20 (84961),-0.1357,-0.0643,-0.0714,55,79,5.607904565105105e-05,0.019700238860475113
PLAUR,PLAUR (5329),-0.1087,-0.038,-0.0707,55,79,6.867038761366789e-05,0.020168830565352035
TREX1,TREX1 (11277),-0.1373,-0.0683,-0.069,55,79,5.927798785735034e-05,0.020033406462703334
IL1A,IL1A (3552),0.0589,0.1272,-0.0683,55,79,0.0001989087431303392,0.039160978482672054
ENPP3,ENPP3 (5169),-0.1051,-0.0372,-0.0679,55,79,5.278835506105245e-06,0.004828445016800448
PTP4A3,PTP4A3 (11156),-0.0721,-0.0059,-0.0662,55,79,0.0001856962336812748,0.03780606502992863
TDRKH,TDRKH (11022),-0.1816,-0.1155,-0.0661,55,79,3.069556868751168e-05,0.015712623103013124
B3GALT2,B3GALT2 (8707),-0.0189,0.0464,-0.0653,55,79,0.0002984987146312022,0.047700109483848604
NFKB1,NFKB1 (4790),-0.008,0.0552,-0.0632,55,79,0.00027454493541983837,0.04674694707750935
VAX2,VAX2 (25806),-0.0953,-0.0353,-0.06,55,79,5.110659230215187e-05,0.019700238860475113
IFI16,IFI16 (3428),0.0024,0.0613,-0.0589,55,79,0.00019219640624072875,0.038689784429313444
MUC1,MUC1 (4582),-0.2216,-0.1641,-0.0576,55,79,5.927798785735034e-05,0.020033406462703334
TECRL,TECRL (253017),0.0301,0.0863,-0.0562,55,79,0.0003035171065616623,0.047700109483848604
OR10R2,OR10R2 (343406),-0.0811,-0.025,-0.0561,49,64,0.0003118031069259575,0.0485762127276996
NEMP1,NEMP1 (23306),-0.0324,0.0209,-0.0534,55,79,0.0002886928011645391,0.04738179044761256
